run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,0.0,800,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,407,112,140,0,800,0,0,158,4,117,124,100,0,11,0,0,0,0,0,0
1,2.0,237,48,140,0,800,0,3,230,2,162,186,100,7,36,3,1,0,0,0,0
1,3.0,163,18,140,9,800,8,5,235,1,177,173,100,27,62,12,20,8,0,0,0
1,4.0,133,11,135,25,800,3,4,230,0,175,151,100,34,78,5,42,13,0,0,5
2,0.0,800,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,423,107,140,0,800,0,0,138,5,122,128,100,0,11,0,0,0,0,0,0
2,2.0,257,48,140,0,800,0,1,223,1,167,189,100,3,26,0,2,0,0,0,0
2,3.0,188,21,140,13,800,1,3,217,2,182,167,100,26,59,13,23,7,0,0,0
2,4.0,179,8,132,33,800,5,1,218,1,185,150,100,19,69,4,41,13,1,1,7
3,0.0,800,240,240,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,420,96,140,0,800,0,0,125,0,133,144,100,0,11,0,0,0,0,0,0
3,2.0,253,36,140,0,800,2,1,210,1,180,196,100,6,28,5,2,0,0,0,0
3,3.0,193,16,138,9,800,3,4,212,1,190,178,100,30,48,6,27,5,0,1,1
3,4.0,182,6,133,32,800,4,2,213,2,192,151,100,22,65,7,45,9,2,1,6
