run,time,cat,S,SO3,H2,photon,electron,hole,cat_H2O,HS,OH,cat_HS,cat_sulfite,cat_H,cat_OH,cat_HS0,cat_S0,cat_HS2,HS2,S2O3,cat_S2O3
1,3.0,11,23,616,5,800,21,0,39,24,210,159,100,7,6,9,7,6,1,2,2
1,4.0,1,10,610,5,800,23,0,37,32,223,166,100,9,5,8,8,3,0,6,4
2,0.0,400,240,720,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0,138,104,620,0,800,8,0,31,12,134,113,100,3,4,10,1,0,0,0,0
2,2.0,63,48,620,1,800,15,0,34,16,185,147,100,12,11,16,7,3,0,0,0
2,3.0,20,21,617,5,800,15,0,35,24,211,163,100,10,9,10,13,3,0,3,0
2,4.0,5,13,614,6,800,18,0,37,27,219,168,100,8,7,8,12,2,1,3,3
3,0.0,400,240,720,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0,132,105,620,0,800,2,3,27,10,130,120,100,6,10,4,1,0,0,0,0
3,2.0,58,41,620,1,800,11,0,38,21,190,155,100,10,12,12,7,2,0,0,0
3,3.0,15,13,615,3,800,15,2,40,29,217,173,100,11,12,8,8,2,0,5,0
3,4.0,4,4,613,3,800,16,0,40,33,226,177,100,11,9,6,9,2,0,6,1
